Ticker,ISIN,Name,Company Common Name,Business Description,ICB Subsector code
ACIW.O,US0044981019,ACI WORLDWIDE/d,ACI Worldwide Inc,"ACI Worldwide, Inc. develops, markets, installs and supports a line of software products and services primarily focused on facilitating electronic payments. The Company also distributes or acts as a sales agent for software developed by third parties. Its products and services are used principally by financial institutions, retailers, billers and electronic payment processors, both in domestic and international markets. The Company's products are sold and supported through distribution networks covering three geographic regions, including the Americas, Europe/Middle East/Africa (EMEA) and Asia/Pacific. The Company's products and services are used by a range of transaction-generating endpoints, including automated teller machines (ATM), retail merchant point-of-sale (POS) terminals, bank branches, corporations and Internet commerce sites. The Company provides payment solutions to financial institutions globally for both retail banking and transaction banking services.",50205015
ACM,US00766T1007,AECOM/d,AECOM,"AECOM is a global infrastructure consulting company. The Company provides professional services throughout the project lifecycle, from planning, architecture, design and engineering to program and construction management. Its segments include Americas, International and AECOM Capital (ACAP). The Americas segment provides planning, consulting, architectural and engineering design and construction management services to commercial and government clients in the United States, Canada and Latin America in end markets, such as transportation, water, government, facilities, environmental and energy. The International segment provides planning, consulting, architectural and engineering design services to commercial and government clients in Europe, the Middle East, Africa and the Asia-Pacific regions in end markets, such as transportation, water, government, facilities, environmental and energy. The ACAP segment has investments primarily in real estate projects.",50101015
ACN,IE00B4BNMY34,ACCENTURE PLC/d,Accenture PLC,"Accenture plc is a professional services company. It provides management and technology consulting services. Its segments include Communications, Media and Technology; Financial Services; Health and Public Service; Products, and Resources. The Communications, Media & Technology segment serves communications, electronics, technology, media and entertainment industries. The Financial Services segment serves banking, capital markets and insurance industries. The Health & Public service segment serves healthcare payers and providers, and government departments and agencies, public service organizations, educational institutions and non-profit organizations. The Resources segment serves chemicals, energy, forest products, metals and mining, utilities and related industries. It offers digital advertising services. It also provides companies with a comprehensive offering across content creation production and distribution. It provides managed security and cyber defense services (MSS).",50205020
ADBE.O,US00724F1012,ADOBE INC/d,Adobe Inc,"Adobe Inc. is a software company. The Company offers products and services used by professionals, marketers, application developers, enterprises and consumers for creating, managing, measuring, optimizing and engaging with compelling content and experiences. It operates through three segments: Digital Media, Digital Experience and Publishing and Advertising. Its Digital Media segment provides tools and solutions that enable individuals, teams and enterprises to create, publish, promote and monetize their digital content. Its Digital Experience segment provides products, services and solutions for creating, managing, executing, measuring, monetizing and optimizing customer experiences. Its Publishing and Advertising segment addresses market opportunities ranging from the diverse authoring and publishing needs of technical and business publishing to its original equipment manufacturer printing businesses. It also includes platforms for Advertising cloud, Web conferencing and Primetim.",10101015
ADI.O,US0326541051,ANALOG DEVICES/d,Analog Devices Inc,"Analog Devices, Inc. (Analog Devices) designs, manufactures and markets a portfolio of solutions that leverage high-performance analog, mixed-signal and digital signal processing technology, including integrated circuits (ICs), algorithms, software and subsystems. Its products include Analog Products, Converters, Amplifiers/Radio Frequency, Other Analog, Power Management and Reference, and Digital Signal Processing Products. The Company is a supplier of data converter products. The Company is a supplier of high-performance amplifiers. Its analog product line also includes products of high performance radio frequency (RF) ICs. The Company's DSPs are used for high-speed numeric calculations. The Company offers its products for applications in various end markets, such as industrial, automotive, consumer and communications. The Company operates in the United States, Rest of North/South America, Europe, Japan and China.",10102010
ADM,US0394831020,ARCHER-DANIELS/d,Archer-Daniels-Midland Co,"Archer-Daniels-Midland Company is a processor of oilseeds, corn, wheat, cocoa and other agricultural commodities. The Company manufactures protein meal, vegetable oil, corn sweeteners, flour, biodiesel, ethanol, and other food and feed ingredients. Its segments include Agricultural Services, which utilizes its United States grain elevator, global transportation network and port operations to buy, store, clean and transport agricultural commodities, such as oilseeds, wheat, milo, oats, rice and barley, and resells these commodities primarily as food and feed ingredients and as raw materials for the agricultural processing industry; Corn Processing, which is engaged in corn wet milling and dry milling activities; Oilseeds Processing, which includes global activities related to the origination, merchandising, crushing and further processing of oilseeds; Wild Flavors and Specialty Ingredients products, which include flavors, sweeteners and health ingredients; Other, and Corporate.",45102030
ADNT.K,IE00BD845X29,ADIENT PLC/d,Adient PLC,"Adient plc designs, manufactures and markets a range of seating systems and components. The Company provides products for passenger cars, commercial vehicles and light trucks, including vans, pick-up trucks and sport/crossover utility vehicles. The Company offers technologies for automotive seating solutions, including seating systems, frames, mechanisms, foam, head restraints, armrests and trim covers. It offers various products for automotive interiors market, which includes production of instrument panels, floor consoles, door panels, overhead consoles, cockpit systems, decorative trim and other automotive interior products. The Company's segments include Americas, which is inclusive of North America and South America; Europe, Middle East, and Africa, and Asia Pacific/China. The Company's subsidiaries include Adient & Summit Corporation Ltd., Adient (Thailand) Co., Ltd., Adient Automotive Interior Investment Co., Limited, and Adient Beteiligungs GmbH.",40101025
ADP.O,US0530151036,AUTOMATIC DATA/d,Automatic Data Processing Inc,"Automatic Data Processing, Inc. (ADP) is a provider of human capital management (HCM) solutions to employers, offering solutions to businesses of various sizes. The Company also provides business process outsourcing solutions. Its segments include Employer Services and Professional Employer Organization (PEO) Services. The Employer Services segment offers a range of human resources (HR) business process outsourcing and technology-enabled HCM solutions. These offerings include payroll services, benefits administration, talent management, HR management, time and attendance management, insurance services, retirement services, and tax and compliance services. ADP TotalSource, ADP's PEO business, offers small and mid-sized businesses a HR outsourcing solution through a co-employment model. As a PEO, ADP TotalSource provides HR management services while the client continues to direct the day-to-day job-related duties of the employees.",50205020
ADS,US0185811082,ALLIANCE DATA/d,Alliance Data Systems Corp,"Alliance Data Systems Corp is a provider of data-driven marketing, loyalty and payment solutions serving consumer-based businesses in a range of industries. The Company offers a portfolio of integrated outsourced marketing solutions, including customer loyalty programs, database marketing services, end-to-end marketing services, analytics and creative services, direct marketing services, and private label and co-brand retail credit card programs. The Company operates through two segments: LoyaltyOne, which provides coalition and short-term loyalty programs through the Company's Canadian AIR MILES Reward Program and BrandLoyalty Group B.V. (BrandLoyalty) and Card Services, which provides risk management solutions, account origination, funding, transaction processing, customer care, collections and marketing services for the Company's private label and co-brand retail credit card programs.",50205015
ADSK.O,US0527691069,AUTODESK INC/d,Autodesk Inc,"Autodesk, Inc. is a design software and services company, offering customers productive business solutions through technology products and services. The Company's segments include Architecture, Engineering and Construction (AEC), Platform Solutions and Emerging Business (PSEB), Manufacturing (MFG), and Media and Entertainment (M&E). The Company serves customers in the architecture, engineering and construction; product design and manufacturing; and digital media and entertainment industries. The Company's product development and manufacturing software provides manufacturers in automotive, transportation, industrial machinery, consumer products and building products with digital engineering solutions. The Company's product offerings include, AutoCAD, AutoCAD LT, Industry Collections, 3ds Max, Maya, Revit, Inventor, AutoCAD Civil three dimensional (3D), CAM Solutions, Fusion 360, BIM 360 and Shotgun.",10101015
AEE,US0236081024,AMEREN CORP/d,Ameren Corp,"Ameren Corporation (Ameren) is a utility holding company. The Company's primary assets are its equity interests in its subsidiaries, including Ameren Missouri, Ameren Illinois and Ameren Transmission Company (ATXI). The Company operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas and Ameren Transmission. The Ameren Missouri segment includes all of the operations of Ameren Missouri. The Ameren Illinois Electric Distribution segment consists of the electric distribution business of Ameren Illinois. The Ameren Illinois Natural Gas segment consists of the natural gas business of Ameren Illinois. The ATXI segment is primarily composed of the aggregated electric transmission businesses of Ameren Illinois and ATXI.",65102000
AEO,US02553E1064,AMER EAGLE OUT/d,American Eagle Outfitters Inc,"American Eagle Outfitters, Inc. is a multi-brand specialty retailer. The Company offers a range of apparel and accessories for men and women under the American Eagle brand and intimates, apparel and personal care products for women under the Aerie brand. It operates stores in the United States, Canada, Mexico and Hong Kong. The Company operates and licenses approximately 1,300 retail stores and are online at www.ae.com and www.aerie.com in the United States and internationally. Its company-owned retail stores are located in shopping malls, lifestyle centers and street locations in the United States, Canada, Mexico and Hong Kong. Its other brands include Tailgate and Todd Snyder New York. Tailgate is an apparel brand with a college town store concept . Todd Snyder New York is a menswear brand and operates approximately two Todd Snyder New York brand stores. The Company operates approximately 940 American Eagle stores and over 148 Aerie stand-alone stores.",40401020
AEP.O,US0255371017,AMRCN ELCTRC O/d,American Electric Power Company Inc,"American Electric Power Company, Inc. (AEP) is a public utility holding company that owns, directly or indirectly, all of the outstanding common stock of its public utility subsidiaries and varying percentages of other subsidiaries. The service areas of the Company's public utility subsidiaries cover the states of Arkansas, Indiana, Kentucky, Louisiana, Michigan, Ohio, Oklahoma, Tennessee, Texas, Virginia and West Virginia. The Company's segments include Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing. AEP's vertically integrated utility operations are engaged in the generation, transmission and distribution of electricity for sale to retail and wholesale customers. Transmission and Distribution Utilities segment consists of the transmission and distribution of electricity for sale to retail and wholesale customers. AEP Transmission Holdco develops, constructs and operates transmission facilities.",65101015
AES,US00130H1059,THE AES CORP/d,AES Corp,"The AES Corporation is a holding company. The Company, through its subsidiaries, operates a diversified portfolio of electricity generation and distribution businesses. The Company is organized into four market-oriented strategic business units (SBUs): US and Utilities (United States, Puerto Rico and El Salvador); South America (Chile, Colombia, Argentina and Brazil); MCAC (Mexico, Central America and the Caribbean), and Eurasia (Europe and Asia). It has two lines of business: generation and utilities. The generation business owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The Company's utilities business owns and/or operates utilities to generate or purchase, distribute, transmit and sell electricity to customers in the residential, commercial, industrial and governmental sectors within a defined service area.",65101015
AFG,US0259321042,AMER FINL GRP/d,American Financial Group Inc,"American Financial Group, Inc. (AFG) is an insurance holding company. The Company is engaged in property and casualty insurance. The Company, through Great American Insurance Group, focuses on commercial products for businesses. It has two segments: Property and casualty insurance and Other. It reports its property and casualty insurance business in specialty sub-segments, including Property and transportation, Specialty casualty and Specialty financial. Its Property and transportation include physical damage and liability coverage for buses and trucks. Its Specialty casualty includes primarily excess and surplus, executive and professional liability, general liability, umbrella and excess liability. Its Specialty financial includes risk management insurance programs for lending and leasing institutions fidelity and surety products and trade credit insurance.",30302025
AFL,US0010551028,AFLAC INC/d,Aflac Inc,"Aflac Incorporated is a holding company. The Company is involved in supplemental health and life insurance, which is marketed and administered through its subsidiary, American Family Life Assurance Company of Columbus (Aflac). The Company's insurance business consists of two segments: Aflac Japan and Aflac U.S. Aflac Japan are designed to help consumers pay for medical and non-medical costs that are not reimbursed under Japan's national health insurance system. It offers insurance products, such as cancer, medical, and income support insurance. Its protection products include whole life, GIFT, and WAYS and Child Endowment. The Company designs the United States insurance products to provide supplemental coverage for people having medical or primary insurance coverage. Aflac U.S. offers accident coverage on both an individual and group basis. It offers cancer plans, critical illness plans, and critical care and recovery plans.",30301010
AGCO.K,US0010841023,AGCO CRP/d,AGCO Corp,"AGCO Corporation is a manufacturer and distributor of agricultural equipment and related replacement parts. The Company sells a range of agricultural equipment, including tractors, combines, self-propelled sprayers, hay tools, forage equipment, seeding and tillage equipment, implements, and grain storage and protein production systems. The Company's segments are North America, South America, Europe/Middle East, and Asia/Pacific/Africa. The Company's products are marketed under various brands, including Challenger, Fendt, GSI, Massey Ferguson and Valtra. As of December 31, 2016, the Company distributed its products through over 3,000 independent dealers and distributors in more than 150 countries. In addition, the Company also provides retail and wholesale financing through its finance joint ventures with Cooperatieve Centrale Raiffeisen-Boerenleenbank B.A. (Rabobank). The Company's AGCO Power engines division produces diesel engines, gears and generating sets.",50204010
AIG,US0268747849,AMER INTL GROU/d,American International Group Inc,"American International Group, Inc. is a global insurance company. The Company provides a range of property casualty insurance, life insurance, retirement solutions and other financial services to customers. Its diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security. The Company’s segments consist of General Insurance, Life and Retirement, Other Operations, and a Legacy Portfolio. General Insurance segment consists of two modules: North America and International. Life and Retirement segment consists of four modules: Individual Retirement, Group Retirement, Life Insurance and Institutional Markets. Other Operations includes Blackboard U.S. Holdings, Inc., which is the Company’s technology-driven subsidiary. Legacy Portfolio consists of its run-off insurance lines and legacy investments.",30302010
AIRC.K,US03750L1098,APRTM INC RT O/d,Apartment Income REIT Corp,"Apartment Income REIT Corp is a self-managed real estate investment trust (REIT). The Company intends to provide transparent ways to invest in the multi-family sector. The Company provide investors varieties of way to allocate capital to multi-family by investing in a diversified portfolio of stabilized apartments. The Company owns a portfolio of approximately 98 stabilized properties with over 26,599 apartment homes. Its properties are located in several markets in the United States, primarily Boston, Philadelphia, Washington DC, Denver, the Bay Area, Los Angeles, Miami and San Diego.",35102040
AIZ,US04621X1081,ASSURANT/d,Assurant Inc,"Assurant, Inc. is a provider of risk management solutions in the housing and lifestyle markets. The Company operates in North America, Latin America, Europe and Asia. The Company's segments include Global Housing, Global Lifestyle and Global Preneed. Through its Global Housing segment, it provides lender-placed homeowners, manufactured housing and flood insurance; renters insurance and related products (multi-family housing business). Through its Global Lifestyle segment, it provides mobile device protection products and related services and extended service products and related services for consumer electronics and appliances (global connected living business); vehicle protection services, and credit insurance. The Global Preneed segment provides pre-funded funeral insurance and annuity products. Its Global Preneed Segment operates in the United States and Canada.",30302025
AJG,US3635761097,ARTHUR J GALLA/d,Arthur J Gallagher & Co,"Arthur J. Gallagher & Co. and its subsidiaries are engaged in providing insurance brokerage and consulting services, and third-party claims settlement and administration services to both domestic and international entities. The Company operates through three segments: brokerage, risk management and corporate. The brokerage segment primarily consists of retail and wholesale insurance brokerage operations. Its retail brokerage operations negotiate and place property/casualty, employer-provided health and welfare insurance, and healthcare exchange and retirement solutions principally for middle-market commercial, industrial, public entity, religious and not-for-profit entities. The risk management segment provides contract claim settlement and administration services for enterprises that choose to self-insure some or all of their property/casualty coverages and for insurance companies that choose to outsource some or all of their property/casualty claims departments.",30302025
AKAM.O,US00971T1016,AKAMAI TECH IN/d,Akamai Technologies Inc,"Akamai Technologies, Inc. is engaged in providing cloud services for delivering, optimizing and securing content and business applications over the Internet. The Company is involved in offering content delivery network (CDN) services. Its services include the delivery of content, applications and software over the Internet, as well as mobile and security solutions. Its solutions include Performance and Security Solutions, Media Delivery Solutions, and Service and Support Solutions. Its Performance and Security Solutions include Web and Mobile Performance Solutions, Cloud Security Solutions, Enterprise Solutions and Network Operator Solutions. The Media Delivery Solutions offerings include Adaptive Delivery solutions, Download Delivery offerings, Infinite Media Acceleration solutions Media Services and Media Analytics. It offers a range of professional services and solutions designed to assist its customers with integrating, configuring, optimizing and managing its core offerings.",10101020
ALB,US0126531013,ALBEMARLE/d,Albemarle Corp,"Albemarle Corporation is a global developer, manufacturer and marketer of highly-engineered specialty chemicals. The Company operates through three segments: Lithium, Bromine Specialties and Catalysts. The Lithium segment develops lithium-based materials for a wide range of industries and end markets. It develops and manufactures a broad range of basic lithium compounds, including lithium carbonate, lithium hydroxide, lithium chloride, and value-added lithium specialties and reagents. The Company's Bromine Specialties segment is focused on bromine and bromine-based business, which includes products used in fire safety solutions and other specialty chemicals applications. The Catalysts segment consists of three main product lines: Clean Fuels Technologies, which is primarily composed of hydroprocessing catalysts (HPC) together with isomerization and akylation catalysts; fluidized catalytic cracking (FCC) catalysts and additives; and performance catalyst solutions (PCS).",55201000
ALE,US0185223007,ALLETE/d,ALLETE Inc,"ALLETE, Inc. is an energy company. The Company's segments include Regulated Operations, ALLETE Clean Energy, Inc. (ALLETE Clean Energy), U.S. Water Services Holding Company (U.S. Water Services), and Corporate and Other. The Regulated Operations segment includes its regulated utilities, Minnesota Power, and Superior Water, Light and Power Company, and its investment in American Transmission Company LLC. The ALLETE Clean Energy segment focuses on developing, acquiring and operating clean and renewable energy projects. The U.S. Water Services provides integrated water management for industry by combining chemical, equipment, engineering and service for customized solution. As of December 31, 2016, its Corporate and Other consisted of BNI Energy, Inc. (BNI Energy), its coal mining operations in North Dakota, ALLETE Properties, LLC (ALLETE Properties), its Florida real estate investment and approximately 5,000 acres of land in Minnesota.",65101015
ALGN.O,US0162551016,ALIGN TECH INC/d,Align Technology Inc,"Align Technology, Inc. designs, manufactures and markets a system of clear aligner therapy, intra-oral scanners and computer-aided design/computer-aided manufacturing (CAD/CAM) digital services used in dentistry, orthodontics and dental records storage. The Company operates through two segments: Clear Aligner segment and Scanner and Services (Scanner) segment. The Clear Aligner segment consists of its Invisalign System, which includes Invisalign Full, Teen and Assist (Comprehensive Products), Express/Lite (Non-Comprehensive Products) and Vivera Retainers, along with its training and ancillary products for treating malocclusion (Non-Case). The Scanner segment consists of intra-oral scanning systems and other services available with the intra-oral scanners that provide digital alternatives to the traditional cast models. The Scanner segment includes its iTero scanner and OrthoCAD services.",20102015
ALK,US0116591092,ALASKA AIR GRO/d,Alaska Air Group Inc,"Alaska Air Group, Inc. is the holding company of Alaska Airlines (Alaska), Virgin America Inc., Horizon Air (Horizon) and other business units. The Company operates through three segments: Mainline, Regional and Horizon. Its Mainline segment includes Alaska's and Virgin America's scheduled air transportation for passengers and cargo throughout the United States, and in parts of Canada, Mexico, Costa Rica and Cuba. Its Regional segment includes Horizon's and other third-party carriers' scheduled air transportation for passengers across a shorter distance network within the United States under capacity purchased arrangements (CPAs). Its Horizon segment includes the capacity sold to Alaska under CPA. Alaska and Virgin America operate fleets of narrowbody passenger jets. As of December 31, 2016, it maintained two frequent flyer plans: the Alaska Airlines Mileage Plan and the Virgin America Elevate.",40501010
ALL,US0200021014,ALLSTATE CP/d,Allstate Corp,"Allstate Corporation (Allstate) is a holding company for Allstate Insurance Company. The Company's business is conducted principally through Allstate Insurance Company, Allstate Life Insurance Company and other subsidiaries. The Company is engaged in the property-casualty insurance business and the life insurance, accident and health insurance and protection plans that cover electronic devices and personal identities. Its segments include Allstate Protection, Allstate Life, Allstate Benefits, Service Businesses, Allstate Annuities, Discontinued Lines and Coverages, and Corporate and Other. The Company offers its products in the United States and Canada.",30302025
ALLE.K,IE00BFRT3W74,ALLEGION PLC/d,Allegion PLC,"Allegion Public Limited Company is a provider of security products and solutions. The Company offers a portfolio of mechanical and electronic security products across a range of brands. Its segments include Americas; Europe, Middle East, India and Africa (EMEIA), and Asia Pacific. Its products include door closers and controls; door and door frames (steel); electronic security products; electronic and biometric access control systems; exit devices; locks, locksets, portable locks and key systems; time, attendance and workforce productivity systems, and other accessories. It sells a range of security products and solutions for end users in commercial, institutional and residential facilities across the world, including into the education, healthcare, government, hospitality, commercial office and single and multi-family residential markets. As of December 31, 2016, it manufactured and sold mechanical and electronic security products and solutions in approximately 130 countries.",50202020
AM,US03676B1026,ANTERO MIDSTRE/d,Antero Midstream Corp,"Antero Midstream Corp, formerly Antero Midstream GP LP, owns, operates and develops midstream energy infrastructure. The Company’s segments include gathering and processing and water handling and treatment. The gathering and processing segment consist of long-term, fee-based activities including low-pressure gathering, compression, high-pressure gathering, processing, fractionation, and condensate gathering. The Company’s water handling and treatment segment consists of long-term fee based activities including fresh water delivery used in completion activity, and water handling services. The Company’s assets are located both in the southwestern core of the Marcellus Shale in northwest West Virginia and in the core of the Utica Shale in southern Ohio.",60101035
AMAT.O,US0382221051,APPLIED MATL/d,Applied Materials Inc,"Applied Materials, Inc. provides manufacturing equipment, services and software to the global semiconductor, display and related industries. The Company's segments are Semiconductor Systems, which includes semiconductor capital equipment for etch, rapid thermal processing, deposition, chemical mechanical planarization, metrology and inspection, wafer packaging, and ion implantation; Applied Global Services, which provides integrated solutions to optimize equipment and fab performance and productivity; Display and Adjacent Markets, which includes products for manufacturing liquid crystal displays, organic light-emitting diodes, upgrades and roll-to-roll Web coating systems and other display technologies for televisions, personal computers, smart phones and other consumer-oriented devices, and Corporate and Other segment, which includes revenues from products, as well as costs of products sold for fabricating solar photovoltaic cells and modules, and certain operating expenses.",10102020
AMCR.K,JE00BJ1F3079,AMCOR PLC/d,Amcor PLC,"Amcor plc is a packaging company. The Company’s segments include Flexibles and Rigid Plastics. The Company offers a range of packaging related products and services, including packaging for beverages, food, healthcare, and personal and home care, tobacco and industrial applications. The Flexibles consists of operations that manufacture flexible and film packaging in the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care and other industries. The Rigid Plastics consists of operations that manufacture rigid plastic containers for a range of predominantly beverage and food products, including carbonated soft drinks, water, juices, sports drinks, milk-based beverages, spirits and beer, sauces, dressings, spreads and personal care item and plastic caps for a variety of applications.",50203030
AMD.O,US0079031078,ADV MICRO DEVI/d,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. is a global semiconductor company. The Company’s products include x86 microprocessors (CPUs), accelerated processing units (APUs), discrete graphics processing units (GPUs), semi-custom System-on-Chip (SOC) products and chipsets for the personal computer (PC), gaming, datacenter and markets. The Company's segments include the Computing and Graphics segment, and the Enterprise, Embedded and Semi-Custom segment. The Computing and Graphics segment primarily includes desktop and notebook processors and chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs and development services. The Enterprise, Embedded and Semi-Custom segment primarily includes server and embedded processors, semi-custom SoC products, development services and technology for game consoles.",10102010
